@_uuid,correct_index,strata,area_urban_rural,area_km,area_km_2,weight,adm1Pcode,adm1NameLa,FCS_4pt,FSI,num_children,has_children,edu_pin_bin,edu_pin_bin_population,health_pin_bin,food_pin_bin,shelter_pin_bin?,wash_pin_bin,pin_number_sectors,overlap_edu_health,overlap_edu_food,overlap_edu_shelter,overlap_edu_wash,overlap_health_food,overlap_health_shelter,overlap_health_wash,overlap_food_shelter,overlap_food_wash,overlap_shelter_wash
c18f4035-fb62-44a0-b9fd-ea6cc1aa1416,1575,20KM_Rural,rural,5-20km,20km,0.354398641416954,UKR14,Donetska,1,2,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
189a5670-c8b0-42aa-8b31-5f1b1466cbc6,1576,20KM_Rural,rural,5-20km,20km,0.354398641416954,UKR14,Donetska,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8c35b4b3-9178-434f-9b4b-4e76f686d024,1577,20KM_Rural,rural,5-20km,20km,0.354398641416954,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201ce0c8-02f0-4c3c-b2ce-154bf45c2071,1578,20KM_Rural,rural,5-20km,20km,0.100393903487530,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224938f9-e135-4b3b-a0e6-047c5183fc8c,1579,20KM_Rural,rural,5-20km,20km,0.381007106894137,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce11c8d9-b1e8-48a5-80d8-00cfee4044b9,1580,20KM_Rural,rural,5-20km,20km,0.354398641416954,UKR14,Donetska,1,2,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45b1f34c-d56d-4253-a67d-ab5b54da824d,1581,20KM_Rural,rural,5-20km,20km,0.354398641416954,UKR14,Donetska,1,2,2,1,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e12160ef-2a3f-4940-933e-817899222d9b,1582,20KM_Rural,rural,5-20km,20km,0.354398641416954,UKR14,Donetska,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6c10e1da-2143-4da4-968c-ad7835716f39,1583,20KM_Rural,rural,5-20km,20km,0.100393903487530,UKR14,Donetska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
747e072f-91cd-4142-a4af-c35875bbd51d,1584,20KM_Rural,rural,5-20km,20km,0.381007106894137,UKR14,Donetska,1,2,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
227da996-57f2-4d13-a33e-c6753400bf68,1585,20KM_Rural,rural,5-20km,20km,0.379293064639472,UKR44,Luhanska,3,3,0,0,,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
e69ff732-8914-4d34-bedf-b9d6bf139c85,1586,20KM_Rural,rural,5-20km,20km,0.379293064639472,UKR44,Luhanska,1,2,2,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
6356c978-a631-4e82-adbb-e7e9f9dbb27c,1587,NOT_20KM_Rural,rural,over_20km,over_20km,2.541383887236210,UKR44,Luhanska,4,3,0,0,,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
aa2b270b-a750-41e5-acb4-eef10415ed74,1588,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.213736766178176,UKR44,Luhanska,3,3,0,0,,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
6cf245ff-347a-45d8-97c0-edb521f7609d,1589,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.479190713487348,UKR44,Luhanska,3,3,0,0,,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
4eb3a191-e545-4328-8f1f-4298b9431b18,1590,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.479190713487348,UKR44,Luhanska,3,3,0,0,,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
e305ca6b-5592-4333-a1fc-16a4af8b4de8,1591,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.479190713487348,UKR44,Luhanska,3,2,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0145a970-ffbe-4a84-8780-81e6e3d90c66,1592,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,4,3,0,0,,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
840d2397-c365-4afe-8c43-ad2df9f7920e,1593,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
fd7bdaef-a6c2-4d5a-8a2d-37857dc96fac,1594,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
ea71faa3-fcdd-4fc2-989d-7f82c6b0f09a,1595,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,3,3,2,1,1,1,1,1,1,0,4,1,1,1,0,1,1,0,1,0,0
3e83e877-d475-4026-a415-27c64ff0e81c,1596,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
5e9752df-f3b0-45b4-89c7-2e60dab127f4,1597,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,3,3,0,0,,0,1,1,1,0,3,0,0,0,0,1,1,0,1,0,0
03ca2149-59c2-4f31-86f9-b2b1b9686f19,1598,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,3,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
13589166-89e4-4971-8675-2363308b63e4,1599,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,3,3,1,1,1,1,1,1,0,0,3,1,1,0,0,1,0,0,0,0,0
2ccf4d06-184e-4c9b-9a92-b9f6bbde07d0,1600,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,2.780958619124520,UKR14,Donetska,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
