a4Pcode,strata,samples,population,strata_sample,strata_population,cluster_weight,strata_weight,final_weight,final_weight_normalized
UKR4420681101,NOT_20KM_Rural,4,1544,246,436619,0.217480229,1.696199427,0.368889839,8.850192091
UKR4420682201,NOT_20KM_Rural,4,709,246,436619,0.099866245,1.696199427,0.169393067,4.063980695
UKR4420689501,NOT_20KM_Rural,4,1926,246,436619,0.271286866,1.696199427,0.460156626,11.03981216
UKR4420986901,NOT_20KM_Rural,4,1200,246,436619,0.169026085,1.696199427,0.286701948,6.878387636
UKR4420988801,NOT_20KM_Rural,4,569,246,436619,0.080146535,1.696199427,0.135944507,3.261502137
UKR4421610101,NOT_20KM_Rural,4,898,246,436619,0.126487853,1.696199427,0.214548624,5.147326747
UKR4421684301,NOT_20KM_Rural,4,2052,246,436619,0.289034605,1.696199427,0.490260331,11.76204286
UKR4422585502,NOT_20KM_Rural,4,321,246,436619,0.045214478,1.696199427,0.076692771,1.839968693
UKR4422588805,NOT_20KM_Rural,4,565,246,436619,0.079583115,1.696199427,0.134988834,3.238574178
UKR4422881101,NOT_20KM_Rural,4,1493,246,436619,0.21029662,1.696199427,0.356705007,8.557860617
UKR4423187101,NOT_20KM_Rural,4,1297,246,436619,0.182689026,1.696199427,0.309877022,7.434390636
UKR4423381501,NOT_20KM_Rural,4,1586,246,436619,0.223396142,1.696199427,0.378924408,9.090935659
UKR4423385301,NOT_20KM_Rural,4,727,246,436619,0.102401636,1.696199427,0.173693597,4.167156509
UKR4424087501,NOT_20KM_Rural,4,754,246,436619,0.106204723,1.696199427,0.18014439,4.321920231
UKR4424887001,NOT_20KM_Rural,4,1833,246,436619,0.258187344,1.696199427,0.437937225,10.50673711
UKR4425180301,NOT_20KM_Rural,4,1291,246,436619,0.181843896,1.696199427,0.308443512,7.399998698
UKR4425182005,NOT_20KM_Rural,4,260,246,436619,0.036622318,1.696199427,0.062118755,1.490317321
UKR4425184001,NOT_20KM_Rural,4,3717,246,436619,0.523558297,1.696199427,0.888059283,21.3058057
UKR4425483001,NOT_20KM_Rural,4,471,246,436619,0.066342738,1.696199427,0.112530514,2.699767147
UKR4425485501,NOT_20KM_Rural,4,622,246,436619,0.087611854,1.696199427,0.148607176,3.565297591
UKR4425488001,NOT_20KM_Rural,4,302,246,436619,0.042538231,1.696199427,0.072153324,1.731060888
UKR4423388203,NOT_20KM_Rural,2,56,246,436619,0.015775768,1.696199427,0.026758848,0.641982846
UKR1411700000,"NOT_20KM_Urban_<100,000",36,58397,313,757221,0.670516893,2.311999314,1.550234596,37.19233359
UKR4412500000,"NOT_20KM_Urban_<100,000",36,58582,313,757221,0.672641071,2.311999314,1.555145695,37.31015782
UKR1413200000,"NOT_20KM_Urban_<100,000",28,63437,313,757221,0.93649679,2.311999314,2.165179935,51.9457472
UKR1412600000,"NOT_20KM_Urban_<100,000",24,72888,313,757221,1.255354778,2.311999314,2.902379384,69.63221083
UKR1411300000,"NOT_20KM_Urban_<100,000",12,48839,313,757221,1.682314564,2.311999314,3.889510118,93.31488159
UKR1411500000,"NOT_20KM_Urban_<100,000",12,30186,313,757221,1.039790893,2.311999314,2.403995832,57.67528033
UKR1414800000,"NOT_20KM_Urban_<100,000",12,15188,313,757221,0.523167829,2.311999314,1.209563662,29.01915317
UKR1424256200,"NOT_20KM_Urban_<100,000",12,3428,313,757221,0.118081335,2.311999314,0.273003966,6.54975356
UKR1411570500,"NOT_20KM_Urban_<100,000",8,15614,313,757221,0.806762821,2.311999314,1.865235088,44.74964356
UKR1413270600,"NOT_20KM_Urban_<100,000",8,10342,313,757221,0.534362821,2.311999314,1.235446476,29.64011872
UKR1413300000,"NOT_20KM_Urban_<100,000",8,21691,313,757221,1.120756523,2.311999314,2.591188312,62.16629425
UKR1413800000,"NOT_20KM_Urban_<100,000",8,23301,313,757221,1.203943928,2.311999314,2.783517535,66.78054596
UKR1420911000,"NOT_20KM_Urban_<100,000",8,13302,313,757221,0.687303641,2.311999314,1.589045545,38.12346347
UKR1424210800,"NOT_20KM_Urban_<100,000",8,15109,313,757221,0.780669877,2.311999314,1.80490822,43.30231616
UKR4411870700,"NOT_20KM_Urban_<100,000",8,7290,313,757221,0.376668436,2.311999314,0.870857166,20.89310244
UKR4421610100,"NOT_20KM_Urban_<100,000",8,19482,313,757221,1.00661927,2.311999314,2.327303061,55.83531163
UKR4423355100,"NOT_20KM_Urban_<100,000",8,9777,313,757221,0.505169726,2.311999314,1.167952059,28.02083163
UKR4425110100,"NOT_20KM_Urban_<100,000",8,17198,313,757221,0.888606827,2.311999314,2.054458374,49.2893794
UKR4423857200,"NOT_20KM_Urban_<100,000",5,761,313,757221,0.062912413,2.311999314,0.145453455,3.489635327
UKR1411570300,"NOT_20KM_Urban_<100,000",4,8347,313,757221,0.862565552,2.311999314,1.994250965,47.844918
UKR1412365600,"NOT_20KM_Urban_<100,000",4,5957,313,757221,0.615586797,2.311999314,1.423236252,34.14546262
UKR1412945600,"NOT_20KM_Urban_<100,000",4,9136,313,757221,0.944099543,2.311999314,2.182757495,52.36745787
UKR1412946200,"NOT_20KM_Urban_<100,000",4,2958,313,757221,0.305674961,2.311999314,0.706720301,16.95522552
UKR1412947100,"NOT_20KM_Urban_<100,000",4,4330,313,757221,0.447455234,2.311999314,1.034516195,24.81951539
UKR1413600000,"NOT_20KM_Urban_<100,000",4,14931,313,757221,1.542945521,2.311999314,3.567288984,85.58433816
