"","settlement","yes_no_host"
"4527","NC-3807-P01-002","yes"
"4560","NB-3808-W03-001","yes"
"4563","NB-3808-W03-001","no"
"4577","NB-3808-J20-001","yes"
"4619","NC-3810-Q16-001","yes"
"4686","NC-3913-Q11-006","no"
"4720","NB-3812-H05-001","no"
"4721","NB-3812-Q04-001","no"
"4722","NB-3812-J02-001","no"
"4723","NB-3812-M07-001","no"
"4724","NB-3812-R01-001","no"
"4733","NA-3805-D23-006","yes"
"4856","NA-3810-G28-005","yes"
"4900","NC-3913-Q11-006","yes"
"4933","NC-3809-D27-001","yes"
"4936","NC-3809-D28-001","yes"
"4938","NC-3809-D30-001","yes"
"4941","NB-3811-H22-001","no"
"4942","NB-3811-H22-001","yes"
"4968","NC-3807-P01-002","no"
"5000","NC-3810-M16-001","yes"
"5001","NC-3806-L08-001","yes"
"5013","NC-3801-R33-001","yes"
"5018","NC-3801-R32-001","yes"
"5021","NC-3801-V32-001","yes"
"5028","NC-3805-F20-001","yes"
"5030","NC-3805-G23-001","yes"
"5033","NC-3805-M20-001","yes"
"5037","NC-3805-N19-001","yes"
"5039","NC-3805-P18-002","yes"
"5042","NC-3805-Q18-001","yes"
"5059","NB-3804-J30-004","yes"
"5073","NC-3807-U07-001","yes"
"5107","NC-3807-P01-005","no"
"5115","NC-3806-P17-001","no"
"5130","NB-3804-J25-002","yes"
"5180","NC-3805-A25-001","yes"
"5229","NC-3801-R33-001","no"
"5269","NB-3905-B30-001","no"
"5295","NC-3812-V04-001","yes"
"5297","NC-3812-N03-001","yes"
"5298","NC-3811-T33-001","yes"
"5300","NC-3811-P33-001","yes"
"5359","NA-3806-J30-002","yes"
"5360","NA-3806-J32-001","yes"
"5448","NA-3805-D23-005","yes"
"5455","NA-3805-C23-001","yes"
"5464","NA-3805-D23-005","no"
"5488","NA-3810-E25-003","yes"
"5496","NA-3810-F23-020","yes"
"5519","NA-3810-F23-009","yes"
"5527","NA-3810-F22-011","yes"
"5542","NA-3810-F23-015","yes"
"5560","NB-3804-J30-004","no"
"5562","NB-3901-E05-001","yes"
"5593","NC-3807-P01-004","yes"
"5623","NA-3806-G33-003","yes"
"5625","NA-3806-J31-001","yes"
"5727","NB-3807-U27-001","yes"
"5739","NA-3810-G28-002","yes"
"5811","NA-3810-G27-003","yes"
"5814","NA-3810-G27-003","no"
"5815","NA-3810-H27-005","yes"
"5826","NC-3913-Y14-001","yes"
"5952","NA-3807-W04-008","yes"
"5976","NC-3811-T33-001","no"
"6024","NC-3805-N33-001","yes"
"6026","NC-3805-Q32-001","yes"
"6049","NC-3807-W15-001","yes"
"6052","NC-3807-W15-001","no"
"6102","NC-3807-V22-001","no"
"6145","NC-3913-M14-001","no"
"6146","NC-3913-G25-001","yes"
"6147","NC-3913-Q26-001","yes"
"6155","NC-3913-Q11-003","yes"
"6219","NA-3806-H31-006","no"
"6221","NA-3806-H31-005","no"
"6301","NA-3806-N30-001","yes"
"6339","NB-3807-U29-001","yes"
"6348","NA-3810-F23-020","no"
"6351","NA-3810-F23-013","yes"
"6357","NA-3810-F23-015","no"
"6371","NB-3807-U27-001","no"
"6393","NA-3810-F23-003","yes"
"6562","NC-3913-L28-002","yes"
"6593","NB-3902-A07-002","no"
"6625","NC-3807-T17-001","no"
"6639","NC-3913-Q11-003","no"
"6690","NB-3814-V11-002","yes"
"6691","NB-3814-U11-001","yes"
"6709","NC-3807-W01-001","yes"
"6710","NC-3807-W01-001","no"
"6718","NA-3806-M32-004","no"
"6753","NB-3807-U29-001","no"
"6759","NA-3807-W03-012","no"
"6813","NA-3806-M32-005","no"
"6835","NA-3806-L31-002","no"
"6837","NB-3811-Q27-001","yes"
"6864","NA-3810-C28-008","yes"
"6873","NB-3808-P05-001","yes"
"6875","NB-3808-P05-001","no"
"6900","NB-3811-N29-001","yes"
"6940","NC-3810-B31-001","yes"
"6941","NC-3806-Z29-001","yes"
"6960","NA-3807-Q01-004","no"
"6982","NB-3804-S21-001","yes"
"6983","NB-3804-R21-001","yes"
"6985","NB-3808-L06-002","yes"
"6997","NA-3810-G29-003","yes"
"7061","NB-3808-L06-002","no"
"7079","NB-3808-R12-003","no"
"7110","NA-3810-H28-003","yes"
"7166","NA-3810-F25-001","no"
"7225","NA-3807-S06-004","no"
"7268","NC-3805-N33-001","no"
"7285","NC-3809-K29-001","yes"
"7287","NC-3809-K29-001","no"
"7291","NB-3814-U09-001","yes"
"7292","NB-3814-V08-002","yes"
"7293","NB-3814-V08-001","yes"
"7345","NC-3806-R24-001","yes"
"7353","NA-3810-F23-013","no"
"7445","NB-3804-Y22-001","yes"
"7446","NB-3804-Y22-001","no"
"7580","NC-3807-N06-001","yes"
"7581","NC-3807-M05-001","yes"
"7591","NA-3810-C28-002","yes"
"7703","NA-3807-Y05-002","no"
"7778","NB-3902-A08-001","yes"
"7785","NC-3809-G33-001","yes"
"7786","NC-3810-N01-001","yes"
"7793","NC-3810-E08-003","yes"
"7799","NB-3902-A08-001","no"
"7816","NC-3809-L33-001","yes"
"7818","NC-3810-K01-003","yes"
"7820","NC-3809-J32-003","yes"
"7840","NC-3913-Q11-005","no"
"7842","NC-3913-E20-002","yes"
"7843","NC-3913-M14-001","yes"
"7846","NC-3913-M22-001","yes"
"7852","NC-3913-Q11-004","yes"
"7884","NC-3913-M22-001","no"
"7894","NC-3913-Q11-004","no"
"7917","NB-3814-X10-001","yes"
"7942","NB-3814-X09-004","yes"
"7980","NC-3808-N33-001","no"
"8053","NA-3810-C28-009","no"
"8054","NA-3810-C28-009","yes"
"8128","NB-3901-D01-001","yes"
"8152","NB-3901-A03-003","yes"
"8166","NA-3810-F24-005","yes"
"8171","NA-3806-Y23-004","yes"
"8186","NB-3812-F01-001","no"
"8199","NB-3901-G09-001","yes"
"8204","NB-3901-G24-002","yes"
"8246","NB-3901-A03-003","no"
"8255","NB-3909-R12-001","no"
"8257","NB-3909-R12-001","yes"
"8262","NB-3909-S07-002","yes"
"8291","NC-3809-E32-001","yes"
"8293","NC-3809-E33-002","yes"
"8325","NB-3909-P03-001","no"
"8343","NC-3810-L04-004","yes"
"8345","NC-3810-J05-001","yes"
"8369","NB-3814-X09-005","yes"
"8370","NB-3814-W16-002","yes"
"8372","NB-3814-X09-003","no"
"8375","NA-3802-B10-003","yes"
"8376","NB-3814-X09-003","yes"
"8385","NA-3802-C08-001","no"
"8388","NB-3814-X09-004","no"
"8395","NB-3814-X09-002","no"
"8425","NB-3808-Z05-001","yes"
"8437","NB-3813-W02-001","yes"
"8440","NB-3813-W02-001","no"
"8446","NA-3704-B31-001","no"
"8459","NB-3808-Z05-001","no"
"8504","NA-3704-B31-001","yes"
"8519","NB-3813-V03-001","no"
"8533","NB-3901-D01-001","no"
"8540","NB-3808-W10-001","no"
"8551","NC-3808-K20-001","no"
"8552","NC-3808-K20-001","yes"
"8579","NC-3808-K21-001","no"
"8610","NC-3812-B16-001","yes"
"8622","NC-3812-B16-001","no"
"8638","NB-3813-V03-001","yes"
"8667","NC-3812-A16-002","yes"
"8711","NB-3905-V16-001","yes"
"8713","NB-3905-V16-001","no"
"8718","NB-3905-T10-002","yes"
"8725","NB-3816-H03-002","no"
"8727","NB-3909-S07-002","no"
"8768","NB-3814-Z10-001","yes"
"8782","NA-3704-A31-001","no"
"8825","NB-3909-C08-001","yes"
"8843","SA-3801-H13-001","yes"
"8913","NB-3812-F16-001","yes"
"8914","NB-3812-F16-001","no"
"8935","NB-3812-F17-001","yes"
"8975","NB-3812-A14-001","yes"
"9000","NB-3814-E04-001","no"
"9004","NA-3805-F19-003","no"
"9005","NA-3810-X12-006","no"
"9021","NC-3808-P20-001","yes"
"9023","NC-3808-L16-001","yes"
"9055","NC-3808-G32-001","yes"
