"","kiryandongo"
"2.04542 32.185518333333334 1097.2 7.3",0.00416666666666667
"2.046221666666667 32.17500666666667 1092.8 7.3",0.00416666666666667
"2.077803 32.2868937 1049.7 10.0",0.00416666666666667
"2.0778056 32.286838 1036.5 10.0",0.00416666666666667
"2.077871666666667 32.28246333333333 1043.8 7.3",0.00416666666666667
"2.077895 32.286818333333336 1043.0 7.3",0.00416666666666667
"2.07817 32.285583333333335 1033.0 7.6",0.00416666666666667
"2.0782998 32.2853238 1041.9 10.0",0.00416666666666667
"2.0785283333333333 32.28406833333334 1047.2 7.3",0.00416666666666667
"2.0785883333333337 32.28528666666667 1039.4 7.3",0.00416666666666667
"2.0790116666666667 32.279356666666665 1036.9 7.3",0.00416666666666667
"2.0790209 32.2845916 1043.7 10.0",0.00416666666666667
"2.08292 32.19768833333333 1039.3 7.4",0.00416666666666667
"2.0833731 32.2839116 1038.7 10.0",0.00416666666666667
"2.08439 32.197790000000005 1061.6 7.6",0.00416666666666667
"2.0849591 32.2824625 1035.9 10.0",0.00416666666666667
"2.0849834 32.1981708 1066.1 10.0",0.00416666666666667
"2.0850633333333333 32.19855333333333 1073.3 7.4",0.00416666666666667
"2.0851551 32.2017532 1096.1 10.0",0.00416666666666667
"2.08558 32.19931833333333 1068.6 7.2",0.00416666666666667
"2.0863062 32.2014795 1066.5 10.0",0.00416666666666667
"2.0867416666666667 32.198496666666664 1068.1 7.4",0.00416666666666667
"2.0868139 32.2001843 1071.4 10.0",0.00416666666666667
"2.086821666666667 32.200174999999994 1069.3 7.3",0.00416666666666667
"2.0873566666666665 32.311341666666664 1043.0 7.4",0.00416666666666667
"2.0873583333333334 32.311580000000006 1047.4 7.9",0.00416666666666667
"2.088041666666667 32.20025166666667 1070.9 7.1",0.00416666666666667
"2.0886774 32.2013022 1086.5 10.0",0.00416666666666667
"2.098253333333333 32.307895 1005.6 7.7",0.00416666666666667
"2.09857 32.306821666666664 175.8 7.9",0.00416666666666667
"2.0986866666666666 32.308126666666666 1051.1 7.4",0.00416666666666667
"2.0989799999999996 32.308175 932.3 8.2",0.00416666666666667
"2.1259812 32.2904197 1077.3 10.0",0.00416666666666667
"2.12697 32.288030000000006 1063.2 7.3",0.00416666666666667
"2.1270513 32.2927039 1046.3 10.0",0.00416666666666667
"2.1272598 32.2915974 1079.8 10.0",0.00416666666666667
"2.1279883333333336 32.28655333333334 1044.3 7.3",0.00416666666666667
"2.128711666666667 32.28986 1059.8 7.3",0.00416666666666667
